Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
0,0.25,-0.875,-0.875,0,0,0,0,0,0,0
2,0.25,-0.625,-0.875,0.198806,-0.581238,-0.813733,0.14982,0.00880431,0.0133188,0.799118
2,0.25,-0.375,-0.875,0.270053,-0.393919,-0.919145,0.667341,2.95819e-05,-0.0113098,0.820781
2,0.25,-0.125,-0.875,0.251978,-0.141421,-0.989949,0.935524,8.55623e-06,-0.0274367,0.766208
2,0.25,0.125,-0.875,0.251978,0.141421,-0.989949,0.935524,-8.55623e-06,-0.0274367,0.766208
2,0.25,0.375,-0.875,0.270053,0.393919,-0.919145,0.667341,-2.95826e-05,-0.0113098,0.820781
2,0.25,0.625,-0.875,0.198806,0.581238,-0.813733,0.14982,-0.00880431,0.0133188,0.799118
0,0.25,0.875,-0.875,0,0,0,0,0,0,0
2,0.25,-0.875,-0.625,0.198806,-0.813733,-0.581238,0.14982,0.0133188,0.00880431,0.799118
2,0.25,-0.625,-0.625,0.125246,-0.707107,-0.707107,0.937254,-0.0101097,-0.0101097,0.786612
1,0.25,-0.375,-0.625,0,0,0,1,0,0,0.546875
1,0.25,-0.125,-0.625,0,0,0,1,0,0,0.421875
1,0.25,0.125,-0.625,0,0,0,1,0,0,0.421875
1,0.25,0.375,-0.625,0,0,0,1,0,0,0.546875
2,0.25,0.625,-0.625,0.125246,0.707107,-0.707107,0.937254,0.0101097,-0.0101097,0.786612
2,0.25,0.875,-0.625,0.198806,0.813733,-0.581238,0.14982,-0.0133188,0.00880431,0.799118
2,0.25,-0.875,-0.375,0.270053,-0.919145,-0.393919,0.667341,-0.0113098,2.95758e-05,0.820781
1,0.25,-0.625,-0.375,0,0,0,1,0,0,0.546875
1,0.25,-0.375,-0.375,0,0,0,1,0,0,0.296875
1,0.25,-0.125,-0.375,0,0,0,1,0,0,0.171875
1,0.25,0.125,-0.375,0,0,0,1,0,0,0.171875
1,0.25,0.375,-0.375,0,0,0,1,0,0,0.296875
1,0.25,0.625,-0.375,0,0,0,1,0,0,0.546875
2,0.25,0.875,-0.375,0.270053,0.919145,-0.393919,0.667341,0.0113098,2.95877e-05,0.820781
2,0.25,-0.875,-0.125,0.251978,-0.989949,-0.141421,0.935524,-0.0274367,8.55892e-06,0.766208
1,0.25,-0.625,-0.125,0,0,0,1,0,0,0.421875
1,0.25,-0.375,-0.125,0,0,0,1,0,0,0.171875
1,0.25,-0.125,-0.125,0,0,0,1,0,0,0.046875
1,0.25,0.125,-0.125,0,0,0,1,0,0,0.046875
1,0.25,0.375,-0.125,0,0,0,1,0,0,0.171875
1,0.25,0.625,-0.125,0,0,0,1,0,0,0.421875
2,0.25,0.875,-0.125,0.251978,0.989949,-0.141421,0.935524,0.0274367,8.55318e-06,0.766208
2,0.25,-0.875,0.125,0.251978,-0.989949,0.141421,0.935524,-0.0274367,-8.55318e-06,0.766208
1,0.25,-0.625,0.125,0,0,0,1,0,0,0.421875
1,0.25,-0.375,0.125,0,0,0,1,0,0,0.171875
1,0.25,-0.125,0.125,0,0,0,1,0,0,0.046875
1,0.25,0.125,0.125,0,0,0,1,0,0,0.046875
1,0.25,0.375,0.125,0,0,0,1,0,0,0.171875
1,0.25,0.625,0.125,0,0,0,1,0,0,0.421875
2,0.25,0.875,0.125,0.251978,0.989949,0.141421,0.935524,0.0274367,-8.55892e-06,0.766208
2,0.25,-0.875,0.375,0.270053,-0.919145,0.393919,0.667341,-0.0113098,-2.95877e-05,0.820781
1,0.25,-0.625,0.375,0,0,0,1,0,0,0.546875
1,0.25,-0.375,0.375,0,0,0,1,0,0,0.296875
1,0.25,-0.125,0.375,0,0,0,1,0,0,0.171875
1,0.25,0.125,0.375,0,0,0,1,0,0,0.171875
1,0.25,0.375,0.375,0,0,0,1,0,0,0.296875
1,0.25,0.625,0.375,0,0,0,1,0,0,0.546875
2,0.25,0.875,0.375,0.270053,0.919145,0.393919,0.667341,0.0113098,-2.95758e-05,0.820781
2,0.25,-0.875,0.625,0.198806,-0.813733,0.581238,0.14982,0.0133188,-0.00880431,0.799118
2,0.25,-0.625,0.625,0.125246,-0.707107,0.707107,0.937254,-0.0101097,0.0101097,0.786612
1,0.25,-0.375,0.625,0,0,0,1,0,0,0.546875
1,0.25,-0.125,0.625,0,0,0,1,0,0,0.421875
1,0.25,0.125,0.625,0,0,0,1,0,0,0.421875
1,0.25,0.375,0.625,0,0,0,1,0,0,0.546875
2,0.25,0.625,0.625,0.125246,0.707107,0.707107,0.937254,0.0101097,0.0101097,0.786612
2,0.25,0.875,0.625,0.198806,0.813733,0.581238,0.14982,-0.0133188,-0.00880431,0.799118
0,0.25,-0.875,0.875,0,0,0,0,0,0,0
2,0.25,-0.625,0.875,0.198806,-0.581238,0.813733,0.14982,0.00880431,-0.0133188,0.799118
2,0.25,-0.375,0.875,0.270053,-0.393919,0.919145,0.667341,2.95826e-05,0.0113098,0.820781
2,0.25,-0.125,0.875,0.251978,-0.141421,0.989949,0.935524,8.55623e-06,0.0274367,0.766208
2,0.25,0.125,0.875,0.251978,0.141421,0.989949,0.935524,-8.55623e-06,0.0274367,0.766208
2,0.25,0.375,0.875,0.270053,0.393919,0.919145,0.667341,-2.95819e-05,0.0113098,0.820781
2,0.25,0.625,0.875,0.198806,0.581238,0.813733,0.14982,-0.00880431,-0.0133188,0.799118
0,0.25,0.875,0.875,0,0,0,0,0,0,0
