Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Volume Fraction,Laplacian
2,0.5,-0.75,-0.75,0.517638,0.267949,10.9282
2,0.5,-0.25,-0.75,0.516708,0.858845,9.04076
2,0.5,0.25,-0.75,0.516708,0.858846,9.36051
2,0.5,0.75,-0.75,0.517638,0.267949,17.4641
2,0.5,-0.75,-0.25,0.516708,0.858846,-3.04404
1,0.5,-0.25,-0.25,0,1,0
1,0.5,0.25,-0.25,0,1,8
2,0.5,0.75,-0.25,0.516708,0.858846,9.17779
2,0.5,-0.75,0.25,0.516708,0.858846,-10.6998
1,0.5,-0.25,0.25,0,1,-8
1,0.5,0.25,0.25,0,1,0
2,0.5,0.75,0.25,0.516708,0.858846,4.56606
2,0.5,-0.75,0.75,0.517638,0.267949,-28.3923
2,0.5,-0.25,0.75,0.516708,0.858846,-13.9266
2,0.5,0.25,0.75,0.516708,0.858845,-4.4747
2,0.5,0.75,0.75,0.517638,0.267949,5.98223e-07
