Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
0,0.0625,-0.96875,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.90625,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.84375,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.78125,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.71875,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.65625,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.59375,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.53125,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.46875,-0.96875,0,0,0,0,0,0,0
0,0.0625,-0.40625,-0.96875,0,0,0,0,0,0,0
2,0.0625,-0.34375,-0.96875,0.0375949,-0.33441,-0.942428,0.0562213,-0.0124152,-0.035478,0.920847
2,0.0625,-0.28125,-0.96875,0.0651317,-0.27881,-0.960346,0.345186,-0.0183182,-0.0624662,0.965205
2,0.0625,-0.21875,-0.96875,0.0640529,-0.220261,-0.975441,0.60405,-0.0140115,-0.0624678,0.956364
2,0.0625,-0.15625,-0.96875,0.0632777,-0.159232,-0.987241,0.79523,-0.00988706,-0.0624679,0.946496
2,0.0625,-0.09375,-0.96875,0.0627766,-0.0963242,-0.99535,0.921511,-0.00588527,-0.0624686,0.939267
2,0.0625,-0.03125,-0.96875,0.0625305,-0.0322413,-0.99948,0.984344,-0.00195408,-0.0624694,0.935517
2,0.0625,0.03125,-0.96875,0.0625305,0.0322413,-0.99948,0.984344,0.00195408,-0.0624694,0.935517
2,0.0625,0.09375,-0.96875,0.0627766,0.0963242,-0.99535,0.92151,0.00588526,-0.0624686,0.939267
2,0.0625,0.15625,-0.96875,0.0632777,0.159232,-0.987241,0.795229,0.00988705,-0.0624679,0.946496
2,0.0625,0.21875,-0.96875,0.0640529,0.220261,-0.975441,0.604049,0.0140115,-0.0624677,0.956362
2,0.0625,0.28125,-0.96875,0.0651317,0.27881,-0.960346,0.345188,0.0183182,-0.0624662,0.96521
2,0.0625,0.34375,-0.96875,0.0375949,0.33441,-0.942428,0.0562205,0.0124152,-0.035478,0.920833
0,0.0625,0.40625,-0.96875,0,0,0,0,0,0,0
0,0.0625,0.46875,-0.96875,0,0,0,0,0,0,0
0,0.0625,0.53125,-0.96875,0,0,0,0,0,0,0
