Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
2,0.5,-0.75,-0.75,0.235496,-0.894427,-0.447214,0.0479443,0.0453298,0.0343313,0.180732
2,0.5,-0.25,-0.75,0.578493,-0.5547,-0.83205,0.699376,0.00107211,-0.0582968,0.52312
2,0.5,0.25,-0.75,0.578493,0.5547,-0.83205,0.699376,-0.00107211,-0.0582967,0.52312
2,0.5,0.75,-0.75,0.235496,0.894427,-0.447214,0.0479442,-0.0453299,0.0343313,0.180732
2,0.5,-0.75,-0.25,0.508771,-0.986394,-0.164399,0.318812,0.0460865,2.74363e-05,0.3748
1,0.5,-0.25,-0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,-0.25,0,0,0,1,0,0,0.1875
2,0.5,0.75,-0.25,0.508771,0.986394,-0.164399,0.318812,-0.0460865,2.74335e-05,0.3748
2,0.5,-0.75,0.25,0.508771,-0.986394,0.164399,0.318812,0.0460865,-2.74335e-05,0.3748
1,0.5,-0.25,0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,0.25,0,0,0,1,0,0,0.1875
2,0.5,0.75,0.25,0.508771,0.986394,0.164399,0.318812,-0.0460865,-2.74363e-05,0.3748
2,0.5,-0.75,0.75,0.235496,-0.894427,0.447214,0.0479442,0.0453299,-0.0343313,0.180732
2,0.5,-0.25,0.75,0.578493,-0.5547,0.83205,0.699376,0.00107211,0.0582967,0.52312
2,0.5,0.25,0.75,0.578493,0.5547,0.83205,0.699376,-0.00107211,0.0582968,0.52312
2,0.5,0.75,0.75,0.235496,0.894427,0.447214,0.0479443,-0.0453298,-0.0343313,0.180732
