Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Volume Fraction,Laplacian
0,0.25,-0.875,-0.875,0,0,0
0,0.25,-0.625,-0.875,0,0,0
2,0.25,-0.375,-0.875,-0.973589,5.27589,-0.85407
2,0.25,-0.125,-0.875,0.789823,-6.56604,-0.435794
2,0.25,0.125,-0.875,0.789823,-6.56604,-0.435794
2,0.25,0.375,-0.875,-0.973589,5.27589,-0.85407
0,0.25,0.625,-0.875,0,0,0
0,0.25,0.875,-0.875,0,0,0
0,0.25,-0.875,-0.625,0,0,0
2,0.25,-0.625,-0.625,0.150763,-0.0989795,-2.10232
2,0.25,-0.375,-0.625,0.126402,1.18072,0.772746
1,0.25,-0.125,-0.625,0,1,0.421875
1,0.25,0.125,-0.625,0,1,0.421875
2,0.25,0.375,-0.625,0.126402,1.18072,0.772746
2,0.25,0.625,-0.625,0.150763,-0.0989793,-2.10232
0,0.25,0.875,-0.625,0,0,0
0,0.25,-0.875,-0.375,0,0,0
2,0.25,-0.625,-0.375,0.260226,0.601254,1.47904
1,0.25,-0.375,-0.375,0,1,0.296875
1,0.25,-0.125,-0.375,0,1,0.171875
1,0.25,0.125,-0.375,0,1,0.171875
1,0.25,0.375,-0.375,0,1,0.296875
2,0.25,0.625,-0.375,0.260226,0.601254,1.47904
0,0.25,0.875,-0.375,0,0,0
0,0.25,-0.875,-0.125,0,0,0
2,0.25,-0.625,-0.125,0.250993,0.785756,1.20123
1,0.25,-0.375,-0.125,0,1,0.171875
1,0.25,-0.125,-0.125,0,1,0.046875
1,0.25,0.125,-0.125,0,1,0.046875
1,0.25,0.375,-0.125,0,1,0.171875
2,0.25,0.625,-0.125,0.250993,0.785755,1.20123
0,0.25,0.875,-0.125,0,0,0
0,0.25,-0.875,0.125,0,0,0
2,0.25,-0.625,0.125,0.250993,0.785755,1.20123
1,0.25,-0.375,0.125,0,1,0.171875
1,0.25,-0.125,0.125,0,1,0.046875
1,0.25,0.125,0.125,0,1,0.046875
1,0.25,0.375,0.125,0,1,0.171875
2,0.25,0.625,0.125,0.250993,0.785756,1.20123
0,0.25,0.875,0.125,0,0,0
0,0.25,-0.875,0.375,0,0,0
2,0.25,-0.625,0.375,0.260226,0.601254,1.47904
1,0.25,-0.375,0.375,0,1,0.296875
1,0.25,-0.125,0.375,0,1,0.171875
1,0.25,0.125,0.375,0,1,0.171875
1,0.25,0.375,0.375,0,1,0.296875
2,0.25,0.625,0.375,0.260226,0.601254,1.47904
0,0.25,0.875,0.375,0,0,0
0,0.25,-0.875,0.625,0,0,0
2,0.25,-0.625,0.625,0.150763,-0.0989793,-2.10232
2,0.25,-0.375,0.625,0.126402,1.18072,0.772746
1,0.25,-0.125,0.625,0,1,0.421875
1,0.25,0.125,0.625,0,1,0.421875
2,0.25,0.375,0.625,0.126402,1.18072,0.772746
2,0.25,0.625,0.625,0.150763,-0.0989795,-2.10232
0,0.25,0.875,0.625,0,0,0
0,0.25,-0.875,0.875,0,0,0
0,0.25,-0.625,0.875,0,0,0
2,0.25,-0.375,0.875,0.327993,0.664124,1.05455
2,0.25,-0.125,0.875,0.240381,0.830189,0.799425
2,0.25,0.125,0.875,0.240381,0.830189,0.799425
2,0.25,0.375,0.875,0.327993,0.664124,1.05455
0,0.25,0.625,0.875,0,0,0
0,0.25,0.875,0.875,0,0,0
